Tweet,Tokens,Label,Prediction
ngayong darating halalan tatanglaw buong bayan ilaw tahanan,"['ngayong', 'darating', 'halalan', 'tatanglaw', 'buong', 'bayan', 'ilaw', 'tahanan']",Non-hate,1.0
"ngayong darating halalan tatanglaw buong bayan ilaw tahanan maria leonor""leni","['ngayong', 'darating', 'halalan', 'tatanglaw', 'buong', 'bayan', 'ilaw', 'tahanan', 'maria', 'leonor""leni']",Non-hate,1.0
ngayong darating halalan tatanglaw buong bayan ilaw tahanan vp,"['ngayong', 'darating', 'halalan', 'tatanglaw', 'buong', 'bayan', 'ilaw', 'tahanan', 'vp']",Non-hate,1.0
gobyernong tapat angat buhay si alexa exo-ls nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap tara samahan ninyo kulayan,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'alexa', 'exo-ls', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap', 'tara', 'samahan', 'ninyo', 'kulayan']",Non-hate,1.0
sama samang babangon terorista kay frame japet hosiah pena edited ron vincent dumalay,"['sama', 'samang', 'babangon', 'terorista', 'kay', 'frame', 'japet', 'hosiah', 'pena', 'edited', 'ron', 'vincent', 'dumalay']",Non-hate,1.0
eto final president vp kiko pangilinan senators chel diokno risa hontiveros teddy baguilat leila alex luke espiritu carmen zubiaga neri colmenares roy cabonegro elmer labog sonny trillanes sonny matula partylist kabataan,"['eto', 'final', 'president', 'vp', 'kiko', 'pangilinan', 'senators', 'chel', 'diokno', 'risa', 'hontiveros', 'teddy', 'baguilat', 'leila', 'alex', 'luke', 'espiritu', 'carmen', 'zubiaga', 'neri', 'colmenares', 'roy', 'cabonegro', 'elmer', 'labog', 'sonny', 'trillanes', 'sonny', 'matula', 'partylist', 'kabataan']",Non-hate,1.0
true leaders show ngayong darating best job woman gerona power,"['true', 'leaders', 'show', 'ngayong', 'darating', 'best', 'job', 'woman', 'gerona', 'power']",Non-hate,1.0
ngayong darating halalan tatanglaw buong bayan ilaw tahanan vice president,"['ngayong', 'darating', 'halalan', 'tatanglaw', 'buong', 'bayan', 'ilaw', 'tahanan', 'vice', 'president']",Non-hate,1.0
ngayong darating halalan tatanglaw buong bayan ilaw tahanan,"['ngayong', 'darating', 'halalan', 'tatanglaw', 'buong', 'bayan', 'ilaw', 'tahanan']",Non-hate,1.0
gobyernong tapat angat buhay si lee bot frag nakiki-isa pagsuporta kay vice president senator kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap frame japet pena,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'lee', 'bot', 'frag', 'nakiki-isa', 'pagsuporta', 'kay', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap', 'frame', 'japet', 'pena']",Non-hate,1.0
