Tweet,Tokens,Label,Prediction
nakikiisa pagsuporta kay vp sen kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['nakikiisa', 'pagsuporta', 'kay', 'vp', 'sen', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Non-hate,0.001549213
best job woman vp,"['best', 'job', 'woman', 'vp']",Non-hate,0.001607764
pag-asa yung tumutulak mangarap dulo kadiliman kaliwanagan pag-asa nagtutulak sa'tin natin lumiliwanag liliwanag ngayong darating halalan tatanglaw buong bayan ilaw tahanan vp,"['pag-asa', 'yung', 'tumutulak', 'mangarap', 'dulo', 'kadiliman', 'kaliwanagan', 'pag-asa', 'nagtutulak', ""sa'tin"", 'natin', 'lumiliwanag', 'liliwanag', 'ngayong', 'darating', 'halalan', 'tatanglaw', 'buong', 'bayan', 'ilaw', 'tahanan', 'vp']",Non-hate,0.001743704
si yel yarbz swith nakiki-isa pagsuporta kay vp sen kiko pangilinan,"['si', 'yel', 'yarbz', 'swith', 'nakiki-isa', 'pagsuporta', 'kay', 'vp', 'sen', 'kiko', 'pangilinan']",Non-hate,0.002290198
gobyernong tapat angat buhay si volleydeity bisexual nakikiisa pagsuporta kay vp sen kiko pangilinan kasama tropa senatorial slate bayan matagal nating pinapangarap,"['gobyernong', 'tapat', 'angat', 'buhay', 'si', 'volleydeity', 'bisexual', 'nakikiisa', 'pagsuporta', 'kay', 'vp', 'sen', 'kiko', 'pangilinan', 'kasama', 'tropa', 'senatorial', 'slate', 'bayan', 'matagal', 'nating', 'pinapangarap']",Non-hate,0.002732941
lord ibigay samin president vp kiko pangilinan,"['lord', 'ibigay', 'samin', 'president', 'vp', 'kiko', 'pangilinan']",Non-hate,0.003802733
sigurado kay vp sen kiko pangilinan darating kiko siguradong pipiliin tayong pilipino balota kiko kasama gobyernong tapat angat buhay,"['sigurado', 'kay', 'vp', 'sen', 'kiko', 'pangilinan', 'darating', 'kiko', 'siguradong', 'pipiliin', 'tayong', 'pilipino', 'balota', 'kiko', 'kasama', 'gobyernong', 'tapat', 'angat', 'buhay']",Non-hate,0.003877951
president vice president kiko pangilinan,"['president', 'vice', 'president', 'kiko', 'pangilinan']",Non-hate,0.003982976
last standing woman best job woman vp nayanig mundo closing remarks vp,"['last', 'standing', 'woman', 'best', 'job', 'woman', 'vp', 'nayanig', 'mundo', 'closing', 'remarks', 'vp']",Non-hate,0.004098074
darating best job woman vp mahal mahal kita,"['darating', 'best', 'job', 'woman', 'vp', 'mahal', 'mahal', 'kita']",Non-hate,0.004154957
maraming salamat po tumitindig kay vp kiko pangilinan ipanalo natin gobyernong tapat mag-aangat buhay eye prize focus goal focus panalo vp sen kiko,"['maraming', 'salamat', 'po', 'tumitindig', 'kay', 'vp', 'kiko', 'pangilinan', 'ipanalo', 'natin', 'gobyernong', 'tapat', 'mag-aangat', 'buhay', 'eye', 'prize', 'focus', 'goal', 'focus', 'panalo', 'vp', 'sen', 'kiko']",Non-hate,0.004297516
