Tweet,Tokens,Label,Prediction
wag mong gawing parang tanga lang..hindi duwag prrd nakikipag kaibigan sya matalino s'ya mahal nya pilipinas tingin malakas pilipinas pag dating china puro kayo palaban palibhasa bobo si,"['wag', 'mong', 'gawing', 'parang', 'tanga', 'lang..hindi', 'duwag', 'prrd', 'nakikipag', 'kaibigan', 'sya', 'matalino', ""s'ya"", 'mahal', 'nya', 'pilipinas', 'tingin', 'malakas', 'pilipinas', 'pag', 'dating', 'china', 'puro', 'kayo', 'palaban', 'palibhasa', 'bobo', 'si']",Hate,0.99991167
biggest flaws nating supporters eh yung pagiging elitista meron ayaw mag-encourage kesyo bobo pinag-aralan nakakaintindi mind guys yan makakakuha boto ibang tao,"['biggest', 'flaws', 'nating', 'supporters', 'eh', 'yung', 'pagiging', 'elitista', 'meron', 'ayaw', 'mag-encourage', 'kesyo', 'bobo', 'pinag-aralan', 'nakakaintindi', 'mind', 'guys', 'yan', 'makakakuha', 'boto', 'ibang', 'tao']",Hate,0.9998879
bobo daw si bobo lagay yan pano lang yung di inutil choose inaalam pinag-iisipan pumili naman best candidate bayan,"['bobo', 'daw', 'si', 'bobo', 'lagay', 'yan', 'pano', 'lang', 'yung', 'di', 'inutil', 'choose', 'inaalam', 'pinag-iisipan', 'pumili', 'naman', 'best', 'candidate', 'bayan']",Hate,0.99987924
asang asa pokwang mananalo wag masyadong umasa baka lang masaktan tama lolit solis cheap cheap engot,"['asang', 'asa', 'pokwang', 'mananalo', 'wag', 'masyadong', 'umasa', 'baka', 'lang', 'masaktan', 'tama', 'lolit', 'solis', 'cheap', 'cheap', 'engot']",Hate,0.99941033
ulol yung nag sasabing i'm inc vote ulol niloko nyo nyo kakampink hahaha pag lilinaw lang po yung nag popost ganyan talaga inc thank godbless,"['ulol', 'yung', 'nag', 'sasabing', ""i'm"", 'inc', 'vote', 'ulol', 'niloko', 'nyo', 'nyo', 'kakampink', 'hahaha', 'pag', 'lilinaw', 'lang', 'po', 'yung', 'nag', 'popost', 'ganyan', 'talaga', 'inc', 'thank', 'godbless']",Hate,0.9994083
bobong tanga lang naniniwala kalinisan katapatan,"['bobong', 'tanga', 'lang', 'naniniwala', 'kalinisan', 'katapatan']",Hate,0.99934727
smni debates matter nice debate biased shunga nyo duwag npa,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag', 'npa']",Hate,0.99934065
smni debates matter nice debate biased shunga nyo duwag npa,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag', 'npa']",Hate,0.99934065
definition terorista armadong grupo nananakit nanunupil civilian teenager non combatant pinapatunayan lang pnp-afp terorista ejk drug war martial law ebidensya,"['definition', 'terorista', 'armadong', 'grupo', 'nananakit', 'nanunupil', 'civilian', 'teenager', 'non', 'combatant', 'pinapatunayan', 'lang', 'pnp-afp', 'terorista', 'ejk', 'drug', 'war', 'martial', 'law', 'ebidensya']",Hate,0.9993098
ah talaga historic naman magiging pagkatalo daming ginastos daming pinuntahang bahay daming hakot daming artista daming pakulo daming logo daming putik binato talo rin,"['ah', 'talaga', 'historic', 'naman', 'magiging', 'pagkatalo', 'daming', 'ginastos', 'daming', 'pinuntahang', 'bahay', 'daming', 'hakot', 'daming', 'artista', 'daming', 'pakulo', 'daming', 'logo', 'daming', 'putik', 'binato', 'talo', 'rin']",Hate,0.9990972
smni debates matter nice debate biased shunga nyo duwag,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag']",Hate,0.9989274
adik pwedeng bigyan chance magpanibagong buhay tamad tamad brat mananatiling bratty si mamumuno bansa sakali tapos leader ganito ah-ah magisip nmn kayo nikki coseteng right,"['adik', 'pwedeng', 'bigyan', 'chance', 'magpanibagong', 'buhay', 'tamad', 'tamad', 'brat', 'mananatiling', 'bratty', 'si', 'mamumuno', 'bansa', 'sakali', 'tapos', 'leader', 'ganito', 'ah-ah', 'magisip', 'nmn', 'kayo', 'nikki', 'coseteng', 'right']",Hate,0.99865234
mas bobo ho si hello supporters nya wag sya umattend anong debate bias kay bbm sya aattend dun mas kaila gan ibang kandidato yun naman tumaas boto nila.sila nalang,"['mas', 'bobo', 'ho', 'si', 'hello', 'supporters', 'nya', 'wag', 'sya', 'umattend', 'anong', 'debate', 'bias', 'kay', 'bbm', 'sya', 'aattend', 'dun', 'mas', 'kaila', 'gan', 'ibang', 'kandidato', 'yun', 'naman', 'tumaas', 'boto', 'nila.sila', 'nalang']",Hate,0.99863875
read infos abt bongbongmarcosdotcom that's saw good things abt puta malamang,"['read', 'infos', 'abt', 'bongbongmarcosdotcom', ""that's"", 'saw', 'good', 'things', 'abt', 'puta', 'malamang']",Hate,0.9984302
putangina sinusumpa talaga kita sayo araw-araw nalang mimisinterpret magulang fuck marcoses fuck thieves fuck elites fuck dynasties,"['putangina', 'sinusumpa', 'talaga', 'kita', 'sayo', 'araw-araw', 'nalang', 'mimisinterpret', 'magulang', 'fuck', 'marcoses', 'fuck', 'thieves', 'fuck', 'elites', 'fuck', 'dynasties']",Hate,0.99842757
