Tweet,Tokens,Label,Prediction
anong ikinagagalit is/ko color fuchsia bang problema nya gustong independyente magpalit color si magpapalit yung kulay dilaw inilagaan binato nyo tae oo dinumihan nyo tae fake news marumi,"['anong', 'ikinagagalit', 'is/ko', 'color', 'fuchsia', 'bang', 'problema', 'nya', 'gustong', 'independyente', 'magpalit', 'color', 'si', 'magpapalit', 'yung', 'kulay', 'dilaw', 'inilagaan', 'binato', 'nyo', 'tae', 'oo', 'dinumihan', 'nyo', 'tae', 'fake', 'news', 'marumi']",Negative,0.9999887943267822
ba alam magnanakaw si ba alam komunista npa senatorial mas nakakatawa binuboto tanga bobo,"['ba', 'alam', 'magnanakaw', 'si', 'ba', 'alam', 'komunista', 'npa', 'senatorial', 'mas', 'nakakatawa', 'binuboto', 'tanga', 'bobo']",Negative,0.9999572038650513
si tamad duwag tax evader sinungaling higit pakialam,"['si', 'tamad', 'duwag', 'tax', 'evader', 'sinungaling', 'higit', 'pakialam']",Negative,0.9999170303344727
ibiboto sana kaso nalaman pala worst vp bansang pilipinas lumabas abs cbn network reactions comments fb puro negative pagkakatiwalaan search google bobo ba si malalaman sagot dali,"['ibiboto', 'sana', 'kaso', 'nalaman', 'pala', 'worst', 'vp', 'bansang', 'pilipinas', 'lumabas', 'abs', 'cbn', 'network', 'reactions', 'comments', 'fb', 'puro', 'negative', 'pagkakatiwalaan', 'search', 'google', 'bobo', 'ba', 'si', 'malalaman', 'sagot', 'dali']",Negative,0.9991832375526428
adik pwedeng bigyan chance magpanibagong buhay tamad tamad brat mananatiling bratty si mamumuno bansa sakali tapos leader ganito ah-ah magisip nmn kayo nikki coseteng right,"['adik', 'pwedeng', 'bigyan', 'chance', 'magpanibagong', 'buhay', 'tamad', 'tamad', 'brat', 'mananatiling', 'bratty', 'si', 'mamumuno', 'bansa', 'sakali', 'tapos', 'leader', 'ganito', 'ah-ah', 'magisip', 'nmn', 'kayo', 'nikki', 'coseteng', 'right']",Negative,0.9991752505302429
pinaka bobang vise presidente philippine history tsk tsk tsk ngayun eh tumatakbo nang pagkapresidente anak tokwa guys maawa naman pilipinas...ano nitong nilalang pilipinas,"['pinaka', 'bobang', 'vise', 'presidente', 'philippine', 'history', 'tsk', 'tsk', 'tsk', 'ngayun', 'eh', 'tumatakbo', 'nang', 'pagkapresidente', 'anak', 'tokwa', 'guys', 'maawa', 'naman', 'pilipinas...ano', 'nitong', 'nilalang', 'pilipinas']",Negative,0.9989513158798218
still can't believe year old cousin degree palamunin magulang audacity call bobo bhie nahiya naman yung degrees sayo,"['still', ""can't"", 'believe', 'year', 'old', 'cousin', 'degree', 'palamunin', 'magulang', 'audacity', 'call', 'bobo', 'bhie', 'nahiya', 'naman', 'yung', 'degrees', 'sayo']",Negative,0.9985601305961609
anong change topic hahaha bobo alam ba saang post sumagot maria ressa post tanga hahaha,"['anong', 'change', 'topic', 'hahaha', 'bobo', 'alam', 'ba', 'saang', 'post', 'sumagot', 'maria', 'ressa', 'post', 'tanga', 'hahaha']",Negative,0.9984620809555054
back youuuu...bwahaha takot pota ke prof carlos lalo si lugaw lutang bobo bwahaha,"['back', 'youuuu...bwahaha', 'takot', 'pota', 'ke', 'prof', 'carlos', 'lalo', 'si', 'lugaw', 'lutang', 'bobo', 'bwahaha']",Negative,0.9984025359153748
"nasabing takot si bbmarcos?!ng umattend si smni presidential debate,eh lalong takot duwag si advance questions bobo","['nasabing', 'takot', 'si', 'bbmarcos?!ng', 'umattend', 'si', 'smni', 'presidential', 'debate,eh', 'lalong', 'takot', 'duwag', 'si', 'advance', 'questions', 'bobo']",Negative,0.9981589913368225
