Tweet,Tokens,Label,Prediction
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Hate,1.0
nagsasabing bobo si gago mas bobo kayo hahahahahaha,"['nagsasabing', 'bobo', 'si', 'gago', 'mas', 'bobo', 'kayo', 'hahahahahaha']",Hate,1.0
ibiboto sana kaso nalaman pala worst vp bansang pilipinas lumabas abs cbn network reactions comments fb puro negative pagkakatiwalaan search google bobo ba si malalaman sagot dali,"['ibiboto', 'sana', 'kaso', 'nalaman', 'pala', 'worst', 'vp', 'bansang', 'pilipinas', 'lumabas', 'abs', 'cbn', 'network', 'reactions', 'comments', 'fb', 'puro', 'negative', 'pagkakatiwalaan', 'search', 'google', 'bobo', 'ba', 'si', 'malalaman', 'sagot', 'dali']",Hate,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times']",Hate,1.0
ekonomista gago diba bumagsak daw econ,"['ekonomista', 'gago', 'diba', 'bumagsak', 'daw', 'econ']",Hate,1.0
si blengblong aka bobong bokbok jobless junyor magnanakaw shabongbong bayag babackout,"['si', 'blengblong', 'aka', 'bobong', 'bokbok', 'jobless', 'junyor', 'magnanakaw', 'shabongbong', 'bayag', 'babackout']",Hate,1.0
sinungaling huwaw pala ganun nya lang lokohin sina kapal talaga mukha nya sabihing sinungaling si bbm eh sya nga tong numero unong manloloko sinungaling,"['sinungaling', 'huwaw', 'pala', 'ganun', 'nya', 'lang', 'lokohin', 'sina', 'kapal', 'talaga', 'mukha', 'nya', 'sabihing', 'sinungaling', 'si', 'bbm', 'eh', 'sya', 'nga', 'tong', 'numero', 'unong', 'manloloko', 'sinungaling']",Hate,1.0
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Hate,1.0
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Hate,1.0
marcosjr duwag ayaw umattend debate kayang idipensa pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'idipensa', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Hate,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times']",Hate,1.0
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Hate,1.0
aminin niyo nung nilabas socmed yung pinag gagawa tingin niyo wala siyang kwenta mfs like ba silbi niyan tas tangina biglang amputa balimbing,"['aminin', 'niyo', 'nung', 'nilabas', 'socmed', 'yung', 'pinag', 'gagawa', 'tingin', 'niyo', 'wala', 'siyang', 'kwenta', 'mfs', 'like', 'ba', 'silbi', 'niyan', 'tas', 'tangina', 'biglang', 'amputa', 'balimbing']",Hate,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times']",Hate,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times']",Hate,1.0
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Hate,1.0
rep di nga umaattend debate di humaharap foreign correspondent manok eh si vp dinedescribe btw anong disprove convict tax evader administrator father's unexplained wealth,"['rep', 'di', 'nga', 'umaattend', 'debate', 'di', 'humaharap', 'foreign', 'correspondent', 'manok', 'eh', 'si', 'vp', 'dinedescribe', 'btw', 'anong', 'disprove', 'convict', 'tax', 'evader', 'administrator', ""father's"", 'unexplained', 'wealth']",Hate,1.0
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Hate,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times']",Hate,1.0
power internet rewrite history real time stunning re-elect worst dictator candidate leads despite refusing interviews debates,"['power', 'internet', 'rewrite', 'history', 'real', 'time', 'stunning', 're-elect', 'worst', 'dictator', 'candidate', 'leads', 'despite', 'refusing', 'interviews', 'debates']",Hate,1.0
