Tweet,Tokens,Label,Prediction
toxic pinklawan impluwensya fushiang ina niyo,"['toxic', 'pinklawan', 'impluwensya', 'fushiang', 'ina', 'niyo']",Negative,1.0
bobo marunong ilocano attending debates arent organized chronies duwag amputa think sya front runner tama ba yon pinas,"['bobo', 'marunong', 'ilocano', 'attending', 'debates', 'arent', 'organized', 'chronies', 'duwag', 'amputa', 'think', 'sya', 'front', 'runner', 'tama', 'ba', 'yon', 'pinas']",Negative,1.0
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Negative,1.0
nagsasabing bobo si gago mas bobo kayo hahahahahaha,"['nagsasabing', 'bobo', 'si', 'gago', 'mas', 'bobo', 'kayo', 'hahahahahaha']",Negative,1.0
reading comments running president gosh apaka dami pading bobo bulag toxic pilipino akala sinong makapang lait good evil coexist damn seriously nakukuha taong yung audacity,"['reading', 'comments', 'running', 'president', 'gosh', 'apaka', 'dami', 'pading', 'bobo', 'bulag', 'toxic', 'pilipino', 'akala', 'sinong', 'makapang', 'lait', 'good', 'evil', 'coexist', 'damn', 'seriously', 'nakukuha', 'taong', 'yung', 'audacity']",Negative,1.0
rin ayaw makabalik lalo si makikita lang pag eleksyon ginagastos ninakaw pamilya baguhin history kaapuapuhan maitatanggi si fm diktador magnanakaw mandarambong abusado kapangyarihan,"['rin', 'ayaw', 'makabalik', 'lalo', 'si', 'makikita', 'lang', 'pag', 'eleksyon', 'ginagastos', 'ninakaw', 'pamilya', 'baguhin', 'history', 'kaapuapuhan', 'maitatanggi', 'si', 'fm', 'diktador', 'magnanakaw', 'mandarambong', 'abusado', 'kapangyarihan']",Negative,1.0
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Negative,1.0
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Negative,1.0
loser sign pinauso taga-suporta pinklawan,"['loser', 'sign', 'pinauso', 'taga-suporta', 'pinklawan']",Negative,0.9999998807907104
dictator's rewrites history tiktok bid become philippines next president,"[""dictator's"", 'rewrites', 'history', 'tiktok', 'bid', 'become', 'philippines', 'next', 'president']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag npa,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag', 'npa']",Negative,0.9999997615814209
smni debates matter nice debate biased shunga nyo duwag,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag']",Negative,0.9999997615814209
smni debates matter nice debate biased shunga nyo duwag npa,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag', 'npa']",Negative,0.9999997615814209
mataas tingin porket l3nik1ko iboboto tingin nyo...kahat bbm supporters tanga masama ugali agnanakaw haha iiyak kayo president,"['mataas', 'tingin', 'porket', 'l3nik1ko', 'iboboto', 'tingin', 'nyo...kahat', 'bbm', 'supporters', 'tanga', 'masama', 'ugali', 'agnanakaw', 'haha', 'iiyak', 'kayo', 'president']",Negative,0.9999996423721313
notorious dictator ferdinand poised usher family right back nation's highest office filipinos head polls monday,"['notorious', 'dictator', 'ferdinand', 'poised', 'usher', 'family', 'right', 'back', ""nation's"", 'highest', 'office', 'filipinos', 'head', 'polls', 'monday']",Negative,0.9999996423721313
vice president calls ferdinand namesake late ousted dictator unfit presidency says billion tax liability says lot person,"['vice', 'president', 'calls', 'ferdinand', 'namesake', 'late', 'ousted', 'dictator', 'unfit', 'presidency', 'says', 'billion', 'tax', 'liability', 'says', 'lot', 'person']",Negative,0.9999996423721313
pota ba nadeklara nyan ulol,"['pota', 'ba', 'nadeklara', 'nyan', 'ulol']",Negative,0.9999996423721313
dot com youtube channel amputa hahajahahqhqjqjajajajajahahahahahahahahahahhahahahayayyahahahahahahahauaha natawa sis,"['dot', 'com', 'youtube', 'channel', 'amputa', 'hahajahahqhqjqjajajajajahahahahahahahahahahhahahahayayyahahahahahahahauaha', 'natawa', 'sis']",Negative,0.9999995231628418
oh mahirap intindihin ung magnanakaw tax evader namemeke bachelor's degree nasangkot pork barrel scam si,"['oh', 'mahirap', 'intindihin', 'ung', 'magnanakaw', 'tax', 'evader', 'namemeke', ""bachelor's"", 'degree', 'nasangkot', 'pork', 'barrel', 'scam', 'si']",Negative,0.9999990463256836
dictator rise ferdinand jnr week foreign correspondent,"['dictator', 'rise', 'ferdinand', 'jnr', 'week', 'foreign', 'correspondent']",Negative,0.999998927116394
