Tweet,Tokens,Label,Prediction
photo grabbed vp fb page,"['photo', 'grabbed', 'vp', 'fb', 'page']",Neutral,0.9706000685691833
look dating sen nakikipagpulong kaniyang team headquarters mandaluyong city kasagsagan pilipinas debates via atty vic rodriguez fb live patrol,"['look', 'dating', 'sen', 'nakikipagpulong', 'kaniyang', 'team', 'headquarters', 'mandaluyong', 'city', 'kasagsagan', 'pilipinas', 'debates', 'via', 'atty', 'vic', 'rodriguez', 'fb', 'live', 'patrol']",Neutral,0.9496004581451416
sinusuyod presidential candidate vice pres mindanao volunteers nagdodoble-kayod naman pagha-house-to-house campaign via,"['sinusuyod', 'presidential', 'candidate', 'vice', 'pres', 'mindanao', 'volunteers', 'nagdodoble-kayod', 'naman', 'pagha-house-to-house', 'campaign', 'via']",Neutral,0.9368109703063965
halalan hundreds catholic leaders endorse president amp kiko pangilinan vice president:https://t.co/ojfynxkgbz via,"['halalan', 'hundreds', 'catholic', 'leaders', 'endorse', 'president', 'amp', 'kiko', 'pangilinan', 'vice', 'president:https://t.co/ojfynxkgbz', 'via']",Neutral,0.9360871911048889
dumalo ngayong hapon sina sen sen tito sotto senatoriables dr minguita padilla pinol townhall meeting brgy tablon cagayan oro city via,"['dumalo', 'ngayong', 'hapon', 'sina', 'sen', 'sen', 'tito', 'sotto', 'senatoriables', 'dr', 'minguita', 'padilla', 'pinol', 'townhall', 'meeting', 'brgy', 'tablon', 'cagayan', 'oro', 'city', 'via']",Neutral,0.9324396848678589
napanood ba nasa vp fb page,"['napanood', 'ba', 'nasa', 'vp', 'fb', 'page']",Neutral,0.9068236947059631
philippines presidential candidate ferdinand attend way promoting blank space tv upcoming rerecorded album i'm voting,"['philippines', 'presidential', 'candidate', 'ferdinand', 'attend', 'way', 'promoting', 'blank', 'space', 'tv', 'upcoming', 'rerecorded', 'album', ""i'm"", 'voting']",Neutral,0.902457594871521
presidential candidate ferdinand vice presidential bet davao city sara duterte take center stage along senatorial slate via,"['presidential', 'candidate', 'ferdinand', 'vice', 'presidential', 'bet', 'davao', 'city', 'sara', 'duterte', 'take', 'center', 'stage', 'along', 'senatorial', 'slate', 'via']",Neutral,0.8948076367378235
labor leader said calls presidential candidates including drop race consolidate candidate/s said via,"['labor', 'leader', 'said', 'calls', 'presidential', 'candidates', 'including', 'drop', 'race', 'consolidate', 'candidate/s', 'said', 'via']",Neutral,0.8939688205718994
nixes martial law says democracy preserved administration read,"['nixes', 'martial', 'law', 'says', 'democracy', 'preserved', 'administration', 'read']",Neutral,0.8845871686935425
catholic e-forum abangan si presidential aspirant manila ngayong lunes february talakayin plataporma watch via,"['catholic', 'e-forum', 'abangan', 'si', 'presidential', 'aspirant', 'manila', 'ngayong', 'lunes', 'february', 'talakayin', 'plataporma', 'watch', 'via']",Neutral,0.8816216588020325
said get real added seek coveted endorsements anyway via,"['said', 'get', 'real', 'added', 'seek', 'coveted', 'endorsements', 'anyway', 'via']",Neutral,0.8758219480514526
look presidential bet vp returns iloilo city thank supporters last push presidential campaign tuesday via tara yap,"['look', 'presidential', 'bet', 'vp', 'returns', 'iloilo', 'city', 'thank', 'supporters', 'last', 'push', 'presidential', 'campaign', 'tuesday', 'via', 'tara', 'yap']",Neutral,0.8739033341407776
salpukan kulay eksena social media matapos mag-anunsyo kandidatura si vice president tinapatan naman tagasuporta davao city sara duterte via,"['salpukan', 'kulay', 'eksena', 'social', 'media', 'matapos', 'mag-anunsyo', 'kandidatura', 'si', 'vice', 'president', 'tinapatan', 'naman', 'tagasuporta', 'davao', 'city', 'sara', 'duterte', 'via']",Neutral,0.8680851459503174
napupuna nf fb,"['napupuna', 'nf', 'fb']",Neutral,0.8677223920822144
takes stage final speech miting via,"['takes', 'stage', 'final', 'speech', 'miting', 'via']",Neutral,0.8670692443847656
sen pilipinas bansa sumailalim napaka-habang represyon martial law myanmar similar situation,"['sen', 'pilipinas', 'bansa', 'sumailalim', 'napaka-habang', 'represyon', 'martial', 'law', 'myanmar', 'similar', 'situation']",Neutral,0.8669590950012207
bf gf,"['bf', 'gf']",Neutral,0.8639914393424988
presidential candidate vice president reiterates stance legalizing divorce country adding recent legal developments make nullification marriage accessible read,"['presidential', 'candidate', 'vice', 'president', 'reiterates', 'stance', 'legalizing', 'divorce', 'country', 'adding', 'recent', 'legal', 'developments', 'make', 'nullification', 'marriage', 'accessible', 'read']",Neutral,0.8616624474525452
nationwide supporters aklan via,"['nationwide', 'supporters', 'aklan', 'via']",Neutral,0.8557783365249634
photos presidential candidate vp people's council convention held dinggoy roxas civic center roxas city capiz tuesday feb vplr media bureau,"['photos', 'presidential', 'candidate', 'vp', ""people's"", 'council', 'convention', 'held', 'dinggoy', 'roxas', 'civic', 'center', 'roxas', 'city', 'capiz', 'tuesday', 'feb', 'vplr', 'media', 'bureau']",Neutral,0.8555947542190552
look caceres archbishop rolando tria tirona members archdiocesan clergy signed statement supporting robredo-kiko pangilinan tandem caceres comprises bicol region robredo's home archdiocese archdiocese caceres fb,"['look', 'caceres', 'archbishop', 'rolando', 'tria', 'tirona', 'members', 'archdiocesan', 'clergy', 'signed', 'statement', 'supporting', 'robredo-kiko', 'pangilinan', 'tandem', 'caceres', 'comprises', 'bicol', 'region', ""robredo's"", 'home', 'archdiocese', 'archdiocese', 'caceres', 'fb']",Neutral,0.8553400635719299
update closing statement smni's presidential debate rallied unity again--this time mentioning pagkakaisa times minutes nangangailangan tulong said via,"['update', 'closing', 'statement', ""smni's"", 'presidential', 'debate', 'rallied', 'unity', 'again--this', 'time', 'mentioning', 'pagkakaisa', 'times', 'minutes', 'nangangailangan', 'tulong', 'said', 'via']",Neutral,0.8531396985054016
reporter's review lian buan via,"[""reporter's"", 'review', 'lian', 'buan', 'via']",Neutral,0.8530665636062622
vice president ditched yellow pink color presidential campaign supposedly global color protest said friday october,"['vice', 'president', 'ditched', 'yellow', 'pink', 'color', 'presidential', 'campaign', 'supposedly', 'global', 'color', 'protest', 'said', 'friday', 'october']",Neutral,0.8497403860092163
bu-usc endorses robredo-pangilinan tandem university student council usc bicol university bu issued official endorsement electoral bids vice president senator kiko pangilinan via,"['bu-usc', 'endorses', 'robredo-pangilinan', 'tandem', 'university', 'student', 'council', 'usc', 'bicol', 'university', 'bu', 'issued', 'official', 'endorsement', 'electoral', 'bids', 'vice', 'president', 'senator', 'kiko', 'pangilinan', 'via']",Neutral,0.8470260500907898
presidential candidate said filipino workers deserve wage slavery responding fellow aspirant's question employers suffer proposal increase daily minimum wage read story,"['presidential', 'candidate', 'said', 'filipino', 'workers', 'deserve', 'wage', 'slavery', 'responding', 'fellow', ""aspirant's"", 'question', 'employers', 'suffer', 'proposal', 'increase', 'daily', 'minimum', 'wage', 'read', 'story']",Neutral,0.8344517946243286
presidential candidate vp took time reading placards taking groupfies amp signing campaign paraphernalia angat buhay agusan del sur liyag kay grand rally agusan del sur vp media bureau,"['presidential', 'candidate', 'vp', 'took', 'time', 'reading', 'placards', 'taking', 'groupfies', 'amp', 'signing', 'campaign', 'paraphernalia', 'angat', 'buhay', 'agusan', 'del', 'sur', 'liyag', 'kay', 'grand', 'rally', 'agusan', 'del', 'sur', 'vp', 'media', 'bureau']",Neutral,0.8340054154396057
insults vice president presidential candidate ask attend,"['insults', 'vice', 'president', 'presidential', 'candidate', 'ask', 'attend']",Neutral,0.832532525062561
non-stop campaign jingle songs featuring various artist via,"['non-stop', 'campaign', 'jingle', 'songs', 'featuring', 'various', 'artist', 'via']",Neutral,0.8299748301506042
look day religious group iglesia cristo endorsed uniteam tandem sara duterte warmly welcomed ilonggo supporters meeting avance guimbal football field iloilo tuesday uniteam/fb,"['look', 'day', 'religious', 'group', 'iglesia', 'cristo', 'endorsed', 'uniteam', 'tandem', 'sara', 'duterte', 'warmly', 'welcomed', 'ilonggo', 'supporters', 'meeting', 'avance', 'guimbal', 'football', 'field', 'iloilo', 'tuesday', 'uniteam/fb']",Neutral,0.8281614780426025
presidential candidates favor legalizing divorce philippines except vice president senator offered alternatives address abusive marriages read,"['presidential', 'candidates', 'favor', 'legalizing', 'divorce', 'philippines', 'except', 'vice', 'president', 'senator', 'offered', 'alternatives', 'address', 'abusive', 'marriages', 'read']",Neutral,0.8274629712104797
hashtags trended twitter vice president announced presidential bid elections thursday oct read,"['hashtags', 'trended', 'twitter', 'vice', 'president', 'announced', 'presidential', 'bid', 'elections', 'thursday', 'oct', 'read']",Neutral,0.8252997398376465
presidential candidates face-off comelec debate frontrunner meets governors several provinces nationwide committed support candidacy,"['presidential', 'candidates', 'face-off', 'comelec', 'debate', 'frontrunner', 'meets', 'governors', 'several', 'provinces', 'nationwide', 'committed', 'support', 'candidacy']",Neutral,0.8231183886528015
presidential debate wherein interaction vital get platform candidate cnn opted forum instead questions asked according credentials background noticeably candidates allowed reply esp sec,"['presidential', 'debate', 'wherein', 'interaction', 'vital', 'get', 'platform', 'candidate', 'cnn', 'opted', 'forum', 'instead', 'questions', 'asked', 'according', 'credentials', 'background', 'noticeably', 'candidates', 'allowed', 'reply', 'esp', 'sec']",Neutral,0.8202459216117859
asked soon filipinos feel impact leadership presidential aspirant sen panfilo said first day office immediately sign waiver bank secrecy act read,"['asked', 'soon', 'filipinos', 'feel', 'impact', 'leadership', 'presidential', 'aspirant', 'sen', 'panfilo', 'said', 'first', 'day', 'office', 'immediately', 'sign', 'waiver', 'bank', 'secrecy', 'act', 'read']",Neutral,0.816993772983551
data web search google trends past days pm today violet yellow blue sara duterte green,"['data', 'web', 'search', 'google', 'trends', 'past', 'days', 'pm', 'today', 'violet', 'yellow', 'blue', 'sara', 'duterte', 'green']",Neutral,0.8144696950912476
vp visits roxas city watch vp sen kiko pangilinan campaigned roxas city capiz ctto...philstar.com,"['vp', 'visits', 'roxas', 'city', 'watch', 'vp', 'sen', 'kiko', 'pangilinan', 'campaigned', 'roxas', 'city', 'capiz', 'ctto...philstar.com']",Neutral,0.8114978075027466
presidential candidate vowed push labor first policy elected president polls read,"['presidential', 'candidate', 'vowed', 'push', 'labor', 'first', 'policy', 'elected', 'president', 'polls', 'read']",Neutral,0.8102726936340332
sinara pinto icc continuity duterte legacy via,"['sinara', 'pinto', 'icc', 'continuity', 'duterte', 'legacy', 'via']",Neutral,0.8085916638374329
look camarines sur grand rally angat buhay bicolandia friday caps robredo's final sortie home region bailiwick bicol presidential election vp media bureau,"['look', 'camarines', 'sur', 'grand', 'rally', 'angat', 'buhay', 'bicolandia', 'friday', 'caps', ""robredo's"", 'final', 'sortie', 'home', 'region', 'bailiwick', 'bicol', 'presidential', 'election', 'vp', 'media', 'bureau']",Neutral,0.8081605434417725
robredo-kiko pangilinan grand rally naga city via helped many time need touched core values sensibilities fil coz exp love care national politician,"['robredo-kiko', 'pangilinan', 'grand', 'rally', 'naga', 'city', 'via', 'helped', 'many', 'time', 'need', 'touched', 'core', 'values', 'sensibilities', 'fil', 'coz', 'exp', 'love', 'care', 'national', 'politician']",Neutral,0.8067200779914856
author congressman ferdinand th congress house bill act establishing special economic free port zone province ilocos norte creating ilocos norte economic zone authority providing funds therefor purposes,"['author', 'congressman', 'ferdinand', 'th', 'congress', 'house', 'bill', 'act', 'establishing', 'special', 'economic', 'free', 'port', 'zone', 'province', 'ilocos', 'norte', 'creating', 'ilocos', 'norte', 'economic', 'zone', 'authority', 'providing', 'funds', 'therefor', 'purposes']",Neutral,0.8042542338371277
